Distance(cm);RSSI
214;-82
214;-79
214;-73
214;-88
214;-85
214;-91
214;-72
214;-70
214;-88
214;-79
310;-75
310;-79
310;-79
310;-78
310;-77
310;-76
310;-69
310;-75
310;-69
310;-77
330;-79
330;-81
330;-86
330;-74
330;-73
330;-83
330;-76
330;-79
330;-95
330;-76
365;-87
365;-79
365;-75
365;-83
365;-67
365;-76
365;-81
365;-73
365;-78
365;-76
405;-82
405;-91
405;-71
405;-85
405;-91
405;-81
405;-71
405;-94
405;-84
405;-91
430;-82
430;-85
430;-85
430;-90
430;-97
430;-81
430;-85
430;-85
430;-88
430;-78
465;-81
465;-83
465;-84
465;-81
465;-83
465;-79
465;-91
465;-88
465;-83
465;-80
495;-88
495;-81
495;-78
495;-79
495;-75
495;-94
495;-86
495;-87
495;-81
495;-79
545;-82
545;-88
545;-90
545;-91
545;-87
545;-94
545;-88
545;-97
545;-82
545;-96
585;-70
585;-85
585;-69
585;-98
585;-76
585;-76
585;-82
585;-87
585;-80
585;-85
610;-86
610;-83
610;-84
610;-98
610;-96
610;-83
610;-81
610;-80
610;-86
610;-85
670;-89
670;-103
670;-85
670;-81
670;-90
670;-89
670;-94
670;-90
670;-81
670;-83
720;-89
720;-71
720;-88
720;-83
720;-87
720;-86
720;-73
720;-85
720;-79
720;-87
785;-83
785;-88
785;-87
785;-83
785;-81
785;-80
785;-97
785;-84
785;-85
785;-95
835;-83
835;-82
835;-81
835;-87
835;-83
835;-81
835;-94
835;-88
835;-89
835;-88
910;-90
910;-90
910;-87
910;-81
910;-83
910;-91
910;-84
910;-82
910;-84
910;-89
990;-90
990;-96
990;-92
990;-97
990;-95
990;-92
990;-94
990;-89
990;-97
990;-90
1050;-82
1050;-82
1050;-76
1050;-88
1050;-82
1050;-82
1050;-77
1050;-86
1050;-76
1050;-88
1120;-81
1120;-84
1120;-91
1120;-88
1120;-80
1120;-88
1120;-79
1120;-98
1120;-81
1120;-82
1215;-92
1215;-88
1215;-88
1215;-84
1215;-96
1215;-90
1215;-84
1215;-96
1215;-87
1215;-97
1305;-89
1305;-89
1305;-94
1305;-88
1305;-90
1305;-92
1305;-102
1305;-102
1305;-101
1305;-86
1450;-84
1450;-94
1450;-92
1450;-89
1450;-90
1450;-98
1450;-94
1450;-92
1450;-96
1450;-93
1600;-88
1600;-94
1600;-94
1600;-92
1600;-96
